dataset	leaf_size	metric	eps	min_samples	nmi
disk-5000n	50	manhattan	0.3	4	0.2335347598182757
DS-577	50	manhattan	0.3	4	0.826604543580085
zoo	50	manhattan	0.3	4	0.2834248482215105
square3	50	manhattan	0.3	4	0.18256406248422033
disk-4600n	50	manhattan	0.3	4	0.1463859515541387
sizes5	50	manhattan	0.3	4	0.132956791740098
cure-t1-2000n-2D	50	manhattan	0.3	4	0.6696013422216626
blobs	50	manhattan	0.3	4	0.6550736646804217
dense-disk-5000	50	manhattan	0.3	4	0.5171365535922929
dense-disk-3000	50	manhattan	0.3	4	0.2496676931078802
2d-10c	50	manhattan	0.3	4	0.5611492312064107
impossible	50	manhattan	0.3	4	0.7983972661828113
aml28	50	manhattan	0.3	4	0.17509539713597155
sizes3	50	manhattan	0.3	4	0.1498390857862933
spiral	50	manhattan	0.3	4	0.7526783214472108
sizes2	50	manhattan	0.3	4	0.16429126803183672
iris	50	manhattan	0.3	4	0.25670441487176504
hypercube	50	manhattan	0.3	4	1.0
engytime	50	manhattan	0.3	4	0.01670207885207209
longsquare	50	manhattan	0.3	4	0.22603798946314022
square5	50	manhattan	0.3	4	0.1764362787190512
3-spiral	50	manhattan	0.3	4	0.07831307693497705
DS-850	50	manhattan	0.3	4	0.913753890110275
rings	50	manhattan	0.3	4	0.4106406612111904
cure-t2-4k	50	manhattan	0.3	4	0.6400917606579166
2d-4c-no4	50	manhattan	0.3	4	0.4551318213376566
disk-1000n	50	manhattan	0.3	4	0.1285747513052499
ecoli	50	manhattan	0.3	4	0.13707779361815026
target	50	manhattan	0.3	4	0.9861144062953922
3MC	50	manhattan	0.3	4	0.47358240763003057
xor	50	manhattan	0.3	4	0.09717109934918625
xclara	50	manhattan	0.3	4	0.012083739408628861
cure-t0-2000n-2D	50	manhattan	0.3	4	1.0
spherical_5_2	50	manhattan	0.3	4	0.1585358243240454
ds577	50	manhattan	0.3	4	0.826604543580085
elliptical_10_2	50	manhattan	0.3	4	0.14195979548868473
triangle2	50	manhattan	0.3	4	0.12543583592557747
disk-4000n	50	manhattan	0.3	4	0.20781281844707672
2d-4c	50	manhattan	0.3	4	0.6129463472973767
long1	50	manhattan	0.3	4	0.9641273738999537
sizes4	50	manhattan	0.3	4	0.13609171434740502
square4	50	manhattan	0.3	4	0.17931511048424034
chainlink	50	manhattan	0.3	4	1.0
spiralsquare	50	manhattan	0.3	4	0.6537103270206323
gaussians1	50	manhattan	0.3	4	1.0
pmf	50	manhattan	0.3	4	0.10764149275154218
long2	50	manhattan	0.3	4	0.9553617919037249
2d-4c-no9	50	manhattan	0.3	4	0.42262398281330016
hepta	50	manhattan	0.3	4	0.46700977359402623
triangle1	50	manhattan	0.3	4	0.47778992506588713
tae	50	manhattan	0.3	4	0.04796284802914385
twenty	50	manhattan	0.3	4	0.6643272384223885
threenorm	50	manhattan	0.3	4	0.07851563701624467
square2	50	manhattan	0.3	4	0.18212385953710977
disk-3000n	50	manhattan	0.3	4	0.2777715099296435
d31	50	manhattan	0.3	4	0.6010285796275093
zelnik4	50	manhattan	0.3	4	0.8538947415779105
2sp2glob	50	manhattan	0.3	4	0.5949006937438226
square1	50	manhattan	0.3	4	0.18212385953710977
2d-3c-no123	50	manhattan	0.3	4	0.057163537136365856
disk-4500n	50	manhattan	0.3	4	0.2930483270892919
sizes1	50	manhattan	0.3	4	0.1706976591532486
long3	50	manhattan	0.3	4	0.9641047367434696
cuboids	50	manhattan	0.3	4	1.0
st900	50	manhattan	0.3	4	0.6801873748368488
tetra	50	manhattan	0.3	4	0.09964375816202062
spherical_4_3	50	manhattan	0.5	2	0.2263819914621473
fourty	50	manhattan	0.5	2	0.835061679784496
lsun	50	manhattan	0.5	2	1.0
ds850	50	manhattan	0.5	2	0.009938054700860318
pathbased	50	manhattan	0.5	2	0.2749385416677135
R15	50	manhattan	0.5	2	0.9133405197925945
spherical_6_2	50	manhattan	0.5	2	0.6052434845185191
shapes	50	manhattan	0.5	2	1.0
2dnormals	50	manhattan	0.5	2	0.027145454714912316
simplex	50	manhattan	0.5	2	1.0
2d-20c-no0	50	manhattan	0.5	2	0.8946284220662466
disk-5000n	50	manhattan	0.5	2	0.04898004750108038
DS-577	50	manhattan	0.5	2	0.0020118339991206766
zoo	50	manhattan	0.5	2	0.4708389621216752
square3	50	manhattan	0.5	2	0.457400316840207
disk-4600n	50	manhattan	0.5	2	0.7067159028961125
sizes5	50	manhattan	0.5	2	0.47017172463267204
blobs	50	manhattan	0.5	2	0.05858496521632972
dense-disk-5000	50	manhattan	0.5	2	0.24466025293461824
dense-disk-3000	50	manhattan	0.5	2	0.4856020243289431
2d-10c	50	manhattan	0.5	2	0.6512272640075505
impossible	50	manhattan	0.5	2	0.9170211486711042
aml28	50	manhattan	0.5	2	0.49782354242401666
compound	50	manhattan	0.5	2	0.2212338936443563
sizes3	50	manhattan	0.5	2	0.4754344574584827
spiral	50	manhattan	0.5	2	1.0
sizes2	50	manhattan	0.5	2	0.4862988140765288
iris	50	manhattan	0.5	2	0.5223742623773774
hypercube	50	manhattan	0.5	2	1.0
engytime	50	manhattan	0.5	2	0.013828657911451062
longsquare	50	manhattan	0.5	2	0.5688017637780005
iono	50	manhattan	0.5	2	0.03912572461247857
square5	50	manhattan	0.5	2	0.40740820880220185
3-spiral	50	manhattan	0.5	2	0.2912319711143391
DS-850	50	manhattan	0.5	2	0.009938054700860318
rings	50	manhattan	0.5	2	0.43815959524644854
2d-4c-no4	50	manhattan	0.5	2	0.610014115041643
disk-1000n	50	manhattan	0.5	2	0.3033139875924712
complex9	50	manhattan	0.5	2	0.03260389180015839
ecoli	50	manhattan	0.5	2	0.20509983924877262
target	50	manhattan	0.5	2	1.0000000000000002
3MC	50	manhattan	0.5	2	0.6599635328514629
xclara	50	manhattan	0.5	2	0.20356903225501768
spherical_5_2	50	manhattan	0.5	2	0.5437487882289033
ds577	50	manhattan	0.5	2	0.0020118339991206766
elliptical_10_2	50	manhattan	0.5	2	0.5451791065039766
triangle2	50	manhattan	0.5	2	0.41719922914158086
disk-4000n	50	manhattan	0.5	2	0.9573462346414279
jain	50	manhattan	0.5	2	0.1660844087676139
2d-4c	50	manhattan	0.5	2	0.6104383928233632
sizes4	50	manhattan	0.5	2	0.47800290383490435
square4	50	manhattan	0.5	2	0.4424512586478959
chainlink	50	manhattan	0.5	2	1.0
spiralsquare	50	manhattan	0.5	2	0.7681080120468936
gaussians1	50	manhattan	0.5	2	1.0
complex8	50	manhattan	0.5	2	0.04848334500091906
haberman	50	manhattan	0.5	2	0.07262504490899578
pmf	50	manhattan	0.5	2	0.35781625487012797
atom	50	manhattan	0.5	2	0.05298062590218454
2d-4c-no9	50	manhattan	0.5	2	0.5904250572447388
hepta	50	manhattan	0.5	2	0.5907260407627826
triangle1	50	manhattan	0.5	2	0.6959547909783798
tae	50	manhattan	0.5	2	0.3282537649344205
twenty	50	manhattan	0.5	2	0.9206504312197891
threenorm	50	manhattan	0.5	2	0.028980531449035993
square2	50	manhattan	0.5	2	0.4708876821872387
flame	50	manhattan	0.5	2	0.0582064067467982
disk-3000n	50	manhattan	0.5	2	0.25569358281348936
d31	50	manhattan	0.5	2	0.8415838435287443
aggregation	50	manhattan	0.5	2	0.23405160729154534
2sp2glob	50	manhattan	0.5	2	0.7974410313352572
glass	50	manhattan	0.5	2	0.2764994262156568
square1	50	manhattan	0.5	2	0.47244176735954757
disk-4500n	50	manhattan	0.5	2	0.01350496449518767
sizes1	50	manhattan	0.5	2	0.47225963303209434
long3	50	manhattan	0.5	2	0.037978309594801564
st900	50	manhattan	0.5	2	0.017823067623012747
tetra	50	manhattan	0.5	2	0.7623127439134865
spherical_4_3	50	manhattan	0.5	3	0.12101524292433373
fourty	50	manhattan	0.5	3	0.8065611458409355
lsun	50	manhattan	0.5	3	1.0
ds850	50	manhattan	0.5	3	0.009938054700860318
pathbased	50	manhattan	0.5	3	0.16181178245586036
R15	50	manhattan	0.5	3	0.9133405197925945
spherical_6_2	50	manhattan	0.5	3	0.5726277691840955
shapes	50	manhattan	0.5	3	1.0
2dnormals	50	manhattan	0.5	3	0.025549994582779866
simplex	50	manhattan	0.5	3	1.0
2d-20c-no0	50	manhattan	0.5	3	0.8931551863575011
disk-5000n	50	manhattan	0.5	3	0.04473528391536056
DS-577	50	manhattan	0.5	3	0.0020118339991206766
zoo	50	manhattan	0.5	3	0.3938108141757237
square3	50	manhattan	0.5	3	0.4340028643112233
disk-4600n	50	manhattan	0.5	3	0.713582274409242
sizes5	50	manhattan	0.5	3	0.43887317939010834
blobs	50	manhattan	0.5	3	0.05858496521632972
dense-disk-5000	50	manhattan	0.5	3	0.25031771006543746
dense-disk-3000	50	manhattan	0.5	3	0.5104064521955083
2d-10c	50	manhattan	0.5	3	0.6625216759069532
impossible	50	manhattan	0.5	3	0.9262037486135033
aml28	50	manhattan	0.5	3	0.4751648391055031
compound	50	manhattan	0.5	3	0.20079579297254857
sizes3	50	manhattan	0.5	3	0.434101963667983
spiral	50	manhattan	0.5	3	1.0
sizes2	50	manhattan	0.5	3	0.46115281391584856
iris	50	manhattan	0.5	3	0.5072578015997514
hypercube	50	manhattan	0.5	3	1.0
engytime	50	manhattan	0.5	3	0.00715101122400368
longsquare	50	manhattan	0.5	3	0.5417310295851046
square5	50	manhattan	0.5	3	0.38992474978887703
3-spiral	50	manhattan	0.5	3	0.2737815338440918
DS-850	50	manhattan	0.5	3	0.009938054700860318
rings	50	manhattan	0.5	3	0.43823046673075855
2d-4c-no4	50	manhattan	0.5	3	0.6144221058562116
disk-1000n	50	manhattan	0.5	3	0.2841838022340962
ecoli	50	manhattan	0.5	3	0.20509983924877262
target	50	manhattan	0.5	3	1.0000000000000002
3MC	50	manhattan	0.5	3	0.670612019076298
xclara	50	manhattan	0.5	3	0.11877291530857952
spherical_5_2	50	manhattan	0.5	3	0.4942624020105175
ds577	50	manhattan	0.5	3	0.0020118339991206766
elliptical_10_2	50	manhattan	0.5	3	0.45825922536875224
triangle2	50	manhattan	0.5	3	0.38724976846251397
disk-4000n	50	manhattan	0.5	3	0.9589365460960076
jain	50	manhattan	0.5	3	0.09751681039364501
2d-4c	50	manhattan	0.5	3	0.6382802151298091
sizes4	50	manhattan	0.5	3	0.439551408661633
square4	50	manhattan	0.5	3	0.42233937950175116
chainlink	50	manhattan	0.5	3	1.0
spiralsquare	50	manhattan	0.5	3	0.7765874932433938
gaussians1	50	manhattan	0.5	3	1.0
haberman	50	manhattan	0.5	3	0.016991169000338913
pmf	50	manhattan	0.5	3	0.31283028308781535
2d-4c-no9	50	manhattan	0.5	3	0.5921890166250054
hepta	50	manhattan	0.5	3	0.5547153542021712
triangle1	50	manhattan	0.5	3	0.7082471713915474
tae	50	manhattan	0.5	3	0.04796284802914385
twenty	50	manhattan	0.5	3	0.9181631825046728
threenorm	50	manhattan	0.5	3	0.020677261642879675
square2	50	manhattan	0.5	3	0.4462690081927394
flame	50	manhattan	0.5	3	0.027041143297085783
disk-3000n	50	manhattan	0.5	3	0.2564132711965923
d31	50	manhattan	0.5	3	0.8313964297753175
aggregation	50	manhattan	0.5	3	0.12100239011448831
2sp2glob	50	manhattan	0.5	3	0.8122963785424661
glass	50	manhattan	0.5	3	0.2297603706584728
square1	50	manhattan	0.5	3	0.4471598416844079
disk-4500n	50	manhattan	0.5	3	0.013811599845135155
sizes1	50	manhattan	0.5	3	0.44573291854746255
long3	50	manhattan	0.5	3	0.037978309594801564
st900	50	manhattan	0.5	3	0.017823067623012747
tetra	50	manhattan	0.5	3	0.7593046449247288
spherical_4_3	50	manhattan	0.5	4	0.06433839221748688
fourty	50	manhattan	0.5	4	0.762622433970957
lsun	50	manhattan	0.5	4	1.0
ds850	50	manhattan	0.5	4	0.5189951027560084
pathbased	50	manhattan	0.5	4	0.054718740284788056
R15	50	manhattan	0.5	4	0.9350595657584271
spherical_6_2	50	manhattan	0.5	4	0.4784412129071112
shapes	50	manhattan	0.5	4	1.0
2dnormals	50	manhattan	0.5	4	0.02590928624570537
simplex	50	manhattan	0.5	4	1.0
2d-20c-no0	50	manhattan	0.5	4	0.8818291580259734
disk-5000n	50	manhattan	0.5	4	0.03868195482438198
DS-577	50	manhattan	0.5	4	0.004449613816270854
zoo	50	manhattan	0.5	4	0.2834248482215105
square3	50	manhattan	0.5	4	0.379658797369915
disk-4600n	50	manhattan	0.5	4	0.7086908176807278
sizes5	50	manhattan	0.5	4	0.3894349908051549
blobs	50	manhattan	0.5	4	0.014898007937667313
dense-disk-5000	50	manhattan	0.5	4	0.3407835325135249
dense-disk-3000	50	manhattan	0.5	4	0.5703160306321479
2d-10c	50	manhattan	0.5	4	0.6644315132294546
impossible	50	manhattan	0.5	4	0.9244124895939134
aml28	50	manhattan	0.5	4	0.45323425091033964
compound	50	manhattan	0.5	4	0.08624518650307313
sizes3	50	manhattan	0.5	4	0.39489689065190314
spiral	50	manhattan	0.5	4	1.0
sizes2	50	manhattan	0.5	4	0.42512314806539436
iris	50	manhattan	0.5	4	0.4775080461714955
hypercube	50	manhattan	0.5	4	1.0
engytime	50	manhattan	0.5	4	0.007502353865134306
longsquare	50	manhattan	0.5	4	0.4773156128013347
square5	50	manhattan	0.5	4	0.3491589478426294
3-spiral	50	manhattan	0.5	4	0.18009026559307742
DS-850	50	manhattan	0.5	4	0.5189951027560084
rings	50	manhattan	0.5	4	0.4392687033667225
2d-4c-no4	50	manhattan	0.5	4	0.6078461726090142
disk-1000n	50	manhattan	0.5	4	0.25621025640117706
ecoli	50	manhattan	0.5	4	0.20254026758528454
target	50	manhattan	0.5	4	0.9861144062953922
3MC	50	manhattan	0.5	4	0.6729782084368683
xclara	50	manhattan	0.5	4	0.054756634610892405
spherical_5_2	50	manhattan	0.5	4	0.40047325455086974
ds577	50	manhattan	0.5	4	0.004449613816270854
elliptical_10_2	50	manhattan	0.5	4	0.36299550044701806
triangle2	50	manhattan	0.5	4	0.3183455950357531
disk-4000n	50	manhattan	0.5	4	0.8947923215524961
jain	50	manhattan	0.5	4	0.04181187689364125
2d-4c	50	manhattan	0.5	4	0.6568348247342838
sizes4	50	manhattan	0.5	4	0.4020888544196774
square4	50	manhattan	0.5	4	0.37546459989329756
chainlink	50	manhattan	0.5	4	1.0
spiralsquare	50	manhattan	0.5	4	0.7789947884755888
gaussians1	50	manhattan	0.5	4	1.0
pmf	50	manhattan	0.5	4	0.23483495622663977
2d-4c-no9	50	manhattan	0.5	4	0.5750054802489715
hepta	50	manhattan	0.5	4	0.4997047953500705
triangle1	50	manhattan	0.5	4	0.7061633576825113
tae	50	manhattan	0.5	4	0.04796284802914385
twenty	50	manhattan	0.5	4	0.9099939801860876
threenorm	50	manhattan	0.5	4	0.01674357443580583
square2	50	manhattan	0.5	4	0.3908074731548469
disk-3000n	50	manhattan	0.5	4	0.2994982631859379
d31	50	manhattan	0.5	4	0.8374308253913082
aggregation	50	manhattan	0.5	4	0.06581987987214954
2sp2glob	50	manhattan	0.5	4	0.8237076266683481
glass	50	manhattan	0.5	4	0.15612990534609938
square1	50	manhattan	0.5	4	0.3899692708978577
disk-4500n	50	manhattan	0.5	4	0.02185819915986148
sizes1	50	manhattan	0.5	4	0.3988167328933884
long3	50	manhattan	0.5	4	0.037978309594801564
st900	50	manhattan	0.5	4	0.017823067623012747
tetra	50	manhattan	0.5	4	0.6814646524454457
fourty	50	cosine	0.2	2	0.02171480372490245
shapes	50	cosine	0.2	2	0.7071067811865475
twodiamonds	50	cosine	0.2	2	0.010628362324883714
simplex	50	cosine	0.2	2	1.0
zoo	50	cosine	0.2	2	0.2351736039206158
zelnik2	50	cosine	0.2	2	0.033399045599201226
iono	50	cosine	0.2	2	0.5417964566863962
2d-4c-no4	50	cosine	0.2	2	0.4769148982172715
pmf	50	cosine	0.2	2	0.5371568873885676
fourty	50	cosine	0.2	3	0.02171480372490245
shapes	50	cosine	0.2	3	0.7071067811865475
twodiamonds	50	cosine	0.2	3	0.010628362324883714
simplex	50	cosine	0.2	3	1.0
zoo	50	cosine	0.2	3	0.20518614704239085
zelnik2	50	cosine	0.2	3	0.033399045599201226
iono	50	cosine	0.2	3	0.5786108337467033
2d-4c-no4	50	cosine	0.2	3	0.4769148982172715
pmf	50	cosine	0.2	3	0.5371568873885676
fourty	50	cosine	0.2	4	0.02171480372490245
shapes	50	cosine	0.2	4	0.7071067811865475
twodiamonds	50	cosine	0.2	4	0.010628362324883714
simplex	50	cosine	0.2	4	1.0
zoo	50	cosine	0.2	4	0.20518614704239085
zelnik2	50	cosine	0.2	4	0.033399045599201226
iono	50	cosine	0.2	4	0.5786108337467033
2d-4c-no4	50	cosine	0.2	4	0.4769148982172715
pmf	50	cosine	0.2	4	0.5371568873885676
twodiamonds	50	cosine	0.3	2	0.010628362324883714
simplex	50	cosine	0.3	2	1.0
zoo	50	cosine	0.3	2	0.1763993369827574
zelnik2	50	cosine	0.3	2	0.033399045599201226
iono	50	cosine	0.3	2	0.4488248123118919
twodiamonds	50	cosine	0.3	3	0.010628362324883714
simplex	50	cosine	0.3	3	1.0
zoo	50	cosine	0.3	3	0.19037171751035684
zelnik2	50	cosine	0.3	3	0.033399045599201226
iono	50	cosine	0.3	3	0.4688468935669994
twodiamonds	50	cosine	0.3	4	0.010628362324883714
simplex	50	cosine	0.3	4	1.0
zoo	50	cosine	0.3	4	0.19037171751035684
zelnik2	50	cosine	0.3	4	0.033399045599201226
iono	50	cosine	0.3	4	0.47414110121775815
twodiamonds	50	cosine	0.5	2	0.010628362324883714
iono	50	cosine	0.5	2	0.2644958873603493
twodiamonds	50	cosine	0.5	3	0.010628362324883714
iono	50	cosine	0.5	3	0.2715008973627811
twodiamonds	50	cosine	0.5	4	0.010628362324883714
iono	50	cosine	0.5	4	0.27352114468014743
spherical_4_3	90	euclidean	0.2	2	0.08186204499529876
fourty	90	euclidean	0.2	2	0.5701255897059135
lsun	90	euclidean	0.2	2	0.7570871166004569
ds850	90	euclidean	0.2	2	0.8597467658996667
elly-2d10c13s	90	euclidean	0.2	2	0.016029940313682826
pathbased	90	euclidean	0.2	2	0.10302189247955203
R15	90	euclidean	0.2	2	0.8020979540619926
spherical_6_2	90	euclidean	0.2	2	0.3564750719223294
shapes	90	euclidean	0.2	2	0.9595666790087141
2dnormals	90	euclidean	0.2	2	0.09048731499259824
simplex	90	euclidean	0.2	2	1.0
2d-20c-no0	90	euclidean	0.2	2	0.6884824363960966
disk-5000n	90	euclidean	0.2	2	0.24368650144862428
DS-577	90	euclidean	0.2	2	0.7448000418322052
zoo	90	euclidean	0.2	2	0.4708389621216752
square3	90	euclidean	0.2	2	0.2953436446227233
sonar	90	euclidean	0.2	2	0.044741061906836056
disk-4600n	90	euclidean	0.2	2	0.17136903127634145
sizes5	90	euclidean	0.2	2	0.1862400205948381
cure-t1-2000n-2D	90	euclidean	0.2	2	0.9072505493289745
blobs	90	euclidean	0.2	2	0.59006569501128
dense-disk-5000	90	euclidean	0.2	2	0.3192310562308332
dense-disk-3000	90	euclidean	0.2	2	0.25674166037294793
2d-10c	90	euclidean	0.2	2	0.5265252170053679
impossible	90	euclidean	0.2	2	0.7689486273011977
aml28	90	euclidean	0.2	2	0.2553317168152184
zelnik2	90	euclidean	0.2	2	0.07761153151601675
sizes3	90	euclidean	0.2	2	0.22611624916448134
spiral	90	euclidean	0.2	2	1.0
sizes2	90	euclidean	0.2	2	0.25231051632705853
iris	90	euclidean	0.2	2	0.333513347701368
hypercube	90	euclidean	0.2	2	0.997066282760711
engytime	90	euclidean	0.2	2	0.04452361408925027
longsquare	90	euclidean	0.2	2	0.3453213169827007
iono	90	euclidean	0.2	2	0.06653613730160769
square5	90	euclidean	0.2	2	0.2874236076225535
3-spiral	90	euclidean	0.2	2	0.14233659357174677
DS-850	90	euclidean	0.2	2	0.8597467658996667
rings	90	euclidean	0.2	2	0.3659987452625164
cure-t2-4k	90	euclidean	0.2	2	0.8733152380050729
2d-4c-no4	90	euclidean	0.2	2	0.4429805438259319
disk-1000n	90	euclidean	0.2	2	0.19093867364907233
complex9	90	euclidean	0.2	2	0.01427637289187116
ecoli	90	euclidean	0.2	2	0.1797137275550516
target	90	euclidean	0.2	2	0.7901440729227428
3MC	90	euclidean	0.2	2	0.46865840234187767
xor	90	euclidean	0.2	2	0.12579469728465675
xclara	90	euclidean	0.2	2	0.11264768955383943
cure-t0-2000n-2D	90	euclidean	0.2	2	1.0
spherical_5_2	90	euclidean	0.2	2	0.33218711842104215
ds577	90	euclidean	0.2	2	0.7448000418322052
elliptical_10_2	90	euclidean	0.2	2	0.3271168413311067
wingnut	90	euclidean	0.2	2	0.9346630688233653
triangle2	90	euclidean	0.2	2	0.24845608946046666
disk-4000n	90	euclidean	0.2	2	0.23249265025004673
jain	90	euclidean	0.2	2	0.03393007859929618
2d-4c	90	euclidean	0.2	2	0.518019700937665
long1	90	euclidean	0.2	2	0.9562811690095492
sizes4	90	euclidean	0.2	2	0.2117341616014161
square4	90	euclidean	0.2	2	0.29384294028595453
chainlink	90	euclidean	0.2	2	1.0
spiralsquare	90	euclidean	0.2	2	0.7477046615076323
gaussians1	90	euclidean	0.2	2	1.0
complex8	90	euclidean	0.2	2	0.012375536417509499
haberman	90	euclidean	0.2	2	0.07262504490899578
pmf	90	euclidean	0.2	2	0.173862104786904
atom	90	euclidean	0.2	2	0.02742439180230068
long2	90	euclidean	0.2	2	0.9516877336358938
2d-4c-no9	90	euclidean	0.2	2	0.416403825483662
cassini	90	euclidean	0.2	2	1.0
hepta	90	euclidean	0.2	2	0.4592575282879041
triangle1	90	euclidean	0.2	2	0.44662212648886307
tae	90	euclidean	0.2	2	0.3282537649344205
twenty	90	euclidean	0.2	2	0.6390639442215315
threenorm	90	euclidean	0.2	2	0.20870596416918566
square2	90	euclidean	0.2	2	0.29724122258013025
disk-3000n	90	euclidean	0.2	2	0.27649262882101794
d31	90	euclidean	0.2	2	0.6133424726876262
aggregation	90	euclidean	0.2	2	0.05799110282073622
zelnik4	90	euclidean	0.2	2	1.0
2sp2glob	90	euclidean	0.2	2	0.622316013493032
glass	90	euclidean	0.2	2	0.19527101061788732
square1	90	euclidean	0.2	2	0.2972161869496809
2d-3c-no123	90	euclidean	0.2	2	0.08366242106180641
disk-4500n	90	euclidean	0.2	2	0.28372816796202416
sizes1	90	euclidean	0.2	2	0.281149884063866
long3	90	euclidean	0.2	2	0.9568997010278084
cuboids	90	euclidean	0.2	2	1.0
st900	90	euclidean	0.2	2	0.6680795597813044
tetra	90	euclidean	0.2	2	0.3317164272241739
fourty	90	euclidean	0.2	3	0.4712984253426397
lsun	90	euclidean	0.2	3	0.7507636122827548
ds850	90	euclidean	0.2	3	0.8648319891085123
elly-2d10c13s	90	euclidean	0.2	3	0.016029940313682826
R15	90	euclidean	0.2	3	0.7792468750385382
spherical_6_2	90	euclidean	0.2	3	0.22691167262971318
shapes	90	euclidean	0.2	3	0.9595666790087141
2dnormals	90	euclidean	0.2	3	0.07596035690208296
simplex	90	euclidean	0.2	3	1.0
2d-20c-no0	90	euclidean	0.2	3	0.6585437810497852
disk-5000n	90	euclidean	0.2	3	0.2199518922855054
DS-577	90	euclidean	0.2	3	0.7480334711644061
zoo	90	euclidean	0.2	3	0.3938108141757237
square3	90	euclidean	0.2	3	0.1951761409518069
disk-4600n	90	euclidean	0.2	3	0.13474767092558354
sizes5	90	euclidean	0.2	3	0.13018646774935347
cure-t1-2000n-2D	90	euclidean	0.2	3	0.9072505493289745
blobs	90	euclidean	0.2	3	0.5821169044625427
dense-disk-5000	90	euclidean	0.2	3	0.31588407000380203
dense-disk-3000	90	euclidean	0.2	3	0.22088016671890143
2d-10c	90	euclidean	0.2	3	0.511975157146657
impossible	90	euclidean	0.2	3	0.7931987012708442
aml28	90	euclidean	0.2	3	0.18678092750574674
zelnik2	90	euclidean	0.2	3	0.07761153151601675
sizes3	90	euclidean	0.2	3	0.14522821936535593
spiral	90	euclidean	0.2	3	1.0
sizes2	90	euclidean	0.2	3	0.17559661620461872
iris	90	euclidean	0.2	3	0.2801956687648174
hypercube	90	euclidean	0.2	3	0.997066282760711
engytime	90	euclidean	0.2	3	0.036602548992681734
longsquare	90	euclidean	0.2	3	0.2538760868840848
iono	90	euclidean	0.2	3	0.04431000749470407
square5	90	euclidean	0.2	3	0.19174993007210187
3-spiral	90	euclidean	0.2	3	0.1146286595455091
DS-850	90	euclidean	0.2	3	0.8648319891085123
rings	90	euclidean	0.2	3	0.3694770975410114
cure-t2-4k	90	euclidean	0.2	3	0.8733152380050729
2d-4c-no4	90	euclidean	0.2	3	0.4414262554367939
disk-1000n	90	euclidean	0.2	3	0.11909770252282316
ecoli	90	euclidean	0.2	3	0.17937373964936046
target	90	euclidean	0.2	3	0.7901440729227428
3MC	90	euclidean	0.2	3	0.45726888841387603
xor	90	euclidean	0.2	3	0.10662351622987386
xclara	90	euclidean	0.2	3	0.03316577864106643
cure-t0-2000n-2D	90	euclidean	0.2	3	1.0
spherical_5_2	90	euclidean	0.2	3	0.1785247945045405
ds577	90	euclidean	0.2	3	0.7480334711644061
elliptical_10_2	90	euclidean	0.2	3	0.17306246026436545
wingnut	90	euclidean	0.2	3	0.9379778216587304
triangle2	90	euclidean	0.2	3	0.14842821802417297
disk-4000n	90	euclidean	0.2	3	0.20049380997390337
2d-4c	90	euclidean	0.2	3	0.5326306737075617
long1	90	euclidean	0.2	3	0.9557898242242178
sizes4	90	euclidean	0.2	3	0.1335938820038691
square4	90	euclidean	0.2	3	0.19065166044167606
chainlink	90	euclidean	0.2	3	1.0
spiralsquare	90	euclidean	0.2	3	0.7926325392919136
gaussians1	90	euclidean	0.2	3	1.0
haberman	90	euclidean	0.2	3	0.016991169000338913
pmf	90	euclidean	0.2	3	0.10131630863561406
long2	90	euclidean	0.2	3	0.9514430615293765
2d-4c-no9	90	euclidean	0.2	3	0.4053660031931157
cassini	90	euclidean	0.2	3	1.0
hepta	90	euclidean	0.2	3	0.45101567964748324
triangle1	90	euclidean	0.2	3	0.41493397237297075
tae	90	euclidean	0.2	3	0.04796284802914385
twenty	90	euclidean	0.2	3	0.5889563025578317
threenorm	90	euclidean	0.2	3	0.20411191452670607
square2	90	euclidean	0.2	3	0.19423763154420096
disk-3000n	90	euclidean	0.2	3	0.2526204022235174
d31	90	euclidean	0.2	3	0.5581747312008605
zelnik4	90	euclidean	0.2	3	1.0
2sp2glob	90	euclidean	0.2	3	0.6647480594027466
glass	90	euclidean	0.2	3	0.137169568375294
square1	90	euclidean	0.2	3	0.19423763154420096
2d-3c-no123	90	euclidean	0.2	3	0.07435510229748883
disk-4500n	90	euclidean	0.2	3	0.27232423142901613
sizes1	90	euclidean	0.2	3	0.19237244496429964
long3	90	euclidean	0.2	3	0.9579023604154682
cuboids	90	euclidean	0.2	3	1.0
st900	90	euclidean	0.2	3	0.6502834763928605
tetra	90	euclidean	0.2	3	0.22112490218707326
fourty	90	euclidean	0.2	4	0.34865358520391404
lsun	90	euclidean	0.2	4	0.6650042774088575
ds850	90	euclidean	0.2	4	0.8551207991922744
elly-2d10c13s	90	euclidean	0.2	4	0.028727854296552165
R15	90	euclidean	0.2	4	0.7467754788702543
spherical_6_2	90	euclidean	0.2	4	0.09637706692703478
shapes	90	euclidean	0.2	4	0.9595666790087141
2dnormals	90	euclidean	0.2	4	0.05159499157567093
simplex	90	euclidean	0.2	4	1.0
2d-20c-no0	90	euclidean	0.2	4	0.6226041780174574
disk-5000n	90	euclidean	0.2	4	0.17601662513173771
DS-577	90	euclidean	0.2	4	0.7264949245427009
zoo	90	euclidean	0.2	4	0.2834248482215105
square3	90	euclidean	0.2	4	0.12898365478497142
disk-4600n	90	euclidean	0.2	4	0.09010656035546669
sizes5	90	euclidean	0.2	4	0.08445352222295972
